ExerciseID,한글명,English,모달리티,계열,MinLevel,SkillComplexity,충격,처방단위,기본용량_원문,상대부하,금기_주의,회귀_원문,회귀_해석됨,진행_원문,진행_해석됨,SourceID,SourceURL,CrossFitMovementsURL,공식YouTube
EX098,덤벨 측면 버피 오버,Lateral Burpee over Dumbbell,체조,버피 변형,1,2,높음,회,5~15/세트,무부하,손목/허리/아킬레스 통증,스텝백+스텝오버,미해석,더 빠른 사이클,미해석,S28,https://games.crossfit.com/workouts/open/2025,https://www.crossfit.com/essentials/movements,
EX099,버피 박스 점프오버,Burpee Box Jump-over,체조,버피 변형,1,3,높음,회,3~12/세트,무부하,손목/무릎/아킬레스 통증,버피 박스 스텝오버,미해석,높이/사이클 증가,미해석,S20,https://games.crossfit.com/workouts/open/2017,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=GLktGkmcvWE
EX100,버피 풀업,Burpee Pull-up,체조,버피 변형,2,3,중간,회,3~12/세트,체중,어깨/팔꿈치/손목 통증,버피+점핑 풀업,미해석,버피 체스트투바,미해석,S26,https://games.crossfit.com/workouts/open/2023,https://www.crossfit.com/essentials/movements,
EX101,셔틀런,Shuttle Run,모노스트럭처럴,달리기,1,2,높음,왕복회/m,10~50ft 왕복 반복,개인 페이스,무릎/발목/아킬레스 통증,걷기 셔틀/긴 회전반경,미해석,스프린트 셔틀,미해석,S26,https://games.crossfit.com/workouts/open/2023,https://www.crossfit.com/essentials/movements,
EX102,덤벨 오버헤드 워킹 런지,Dumbbell Overhead Walking Lunge,웨이트리프팅,편측 하체,2,4,중간,ft/m,20~200ft,중간,어깨/무릎 통증,프론트랙/무부하 런지,미해석,거리/부하 증가,미해석,S22,https://games.crossfit.com/workouts/open/2019,https://www.crossfit.com/essentials/movements,
EX103,덤벨 프론트랙 워킹 런지,Dumbbell Front-rack Walking Lunge,웨이트리프팅,편측 하체,1,2,중간,ft/m,20~100ft,중간,손목/무릎 통증,무부하 워킹 런지,미해석,오버헤드 런지,미해석,S20,https://games.crossfit.com/workouts/open/2017,https://www.crossfit.com/essentials/movements,
EX104,덤벨 박스 스텝업,Dumbbell Box Step-up,웨이트리프팅,편측 하체,1,2,낮음,회,5~20/세트,중간,균형 불안/무릎 통증,무부하/낮은 박스,미해석,높이/부하 증가,미해석,S22,https://games.crossfit.com/workouts/open/2019,https://www.crossfit.com/essentials/movements,
EX105,메디신볼 박스 스텝오버,Medicine-ball Box Step-over,웨이트리프팅,편측 하체,1,2,낮음,회,5~20/세트,가벼움~중간,균형 불안/무릎 통증,무부하 박스 스텝오버,미해석,부하/높이 증가,미해석,S29,https://games.crossfit.com/workouts/open/2026,https://www.crossfit.com/essentials/movements,
EX106,덤벨 행 클린앤저크,Dumbbell Hang Clean and Jerk,웨이트리프팅,덤벨 복합,1,3,중간,회,5~15/세트,가벼움~중간,어깨/손목/허리 통증,DB 행 클린+프레스,미해석,연속 사이클/부하 증가,미해석,S21,https://games.crossfit.com/workouts/open/2018,https://www.crossfit.com/essentials/movements,
EX107,덤벨 행 클린투오버헤드,Dumbbell Hang Clean-to-Overhead,웨이트리프팅,덤벨 복합,1,3,중간,회,5~15/세트,가벼움~중간,어깨/손목/허리 통증,행 클린+스트릭트 프레스,미해석,연속 사이클/부하 증가,미해석,S28,https://games.crossfit.com/workouts/open/2025,https://www.crossfit.com/essentials/movements,
EX108,덤벨 스러스터,Dumbbell Thruster,웨이트리프팅,혼합,1,2,중간,회,5~20/세트,가벼움~중간,무릎/어깨 통증,싱글 DB/가벼운 부하,미해석,더블 DB 고중량,미해석,S23,https://games.crossfit.com/workouts/open/2020,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=u3wKkZjE8QM
EX109,덤벨 스쿼트,Dumbbell Squat,웨이트리프팅,스쿼트,1,2,중간,회,5~20/세트,중간,손목/무릎 통증,고블릿 스쿼트,고블릿 스쿼트,부하/템포 증가,미해석,S21,https://games.crossfit.com/workouts/open/2018,https://www.crossfit.com/essentials/movements,
EX110,그라운드투오버헤드,Ground-to-Overhead,웨이트리프팅,바벨 복합,2,4,중간,회,3~15/세트,중간,어깨/손목/허리 통증,클린+푸시프레스,미해석,스내치/클린앤저크 전략,스내치,S23,https://games.crossfit.com/workouts/open/2020,https://www.crossfit.com/essentials/movements,
EX111,클린앤저크,Clean and Jerk,웨이트리프팅,올림픽-복합,2,5,중간,품질회,4~10×1~2,중간~무거움,감독 없음/어깨·손목·허리 통증,행 파워클린+푸시저크,미해석,경기식 중량,미해석,S23,https://games.crossfit.com/workouts/open/2020,https://www.crossfit.com/essentials/movements,
EX112,스트릭트 핸드스탠드 푸시업,Strict Handstand Push-up,체조,인버전 밀기,3,5,중간,품질회,3~8×1~6,체중,목/어깨/손목 통증,박스 파이크/DB 스트릭트프레스,미해석,디피싯 스트릭트 HSPU,미해석,S22,https://games.crossfit.com/workouts/open/2019,https://www.crossfit.com/essentials/movements,
EX113,바 넘기 버피,Burpee over Bar,체조,버피 변형,1,2,높음,회,5~15/세트,무부하,손목/허리/아킬레스 통증,스텝백+스텝오버,미해석,바페이싱/고속 사이클,미해석,S29,https://games.crossfit.com/workouts/open/2026,https://www.crossfit.com/essentials/movements,
EX114,행 클린,Hang Clean,웨이트리프팅,올림픽-클린,2,4,중간,품질회,4~8×1~3,중간,손목/허리/무릎 통증,행 파워클린,미해석,저행/복합 클린,미해석,S24,https://games.crossfit.com/workouts/open/2021,https://www.crossfit.com/essentials/movements,
EX115,스모 데드리프트 하이풀,Sumo Deadlift High Pull,웨이트리프팅,힌지/당기기,1,2,중간,회,5~15/세트,가벼움~중간,허리/어깨/손목 통증,스모 데드리프트,미해석,부하/사이클 증가,미해석,S18,https://www.crossfit.com/essentials/movements,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=o6QniJ9FaGA
